site,block,time_month,treatment,family,species,number_recovered,number_original
co,3,0.25,c,iridaceae,s.angustifolium,20,20
co,4,0.25,s,iridaceae,s.angustifolium,20,20
co,4,0.25,c,iridaceae,s.angustifolium,16,20
co,5,0.25,c,iridaceae,s.angustifolium,19,20
co,5,0.25,s,iridaceae,s.angustifolium,20,20
co,6,0.25,c,iridaceae,s.angustifolium,20,20
co,6,0.25,s,iridaceae,s.angustifolium,20,20
co,7,0.25,c,iridaceae,s.angustifolium,18,20
co,7,0.25,s,iridaceae,s.angustifolium,19,20
co,8,0.25,c,iridaceae,s.angustifolium,20,20
co,8,0.25,s,iridaceae,s.angustifolium,20,20
co,9,0.25,c,iridaceae,s.angustifolium,19,20
co,9,0.25,s,iridaceae,s.angustifolium,18,20
co,10,0.25,c,iridaceae,s.angustifolium,15,20
co,10,0.25,s,iridaceae,s.angustifolium,16,20
co,1,1,c,iridaceae,s.angustifolium,1,20
co,1,1,s,iridaceae,s.angustifolium,15,20
co,2,1,c,iridaceae,s.angustifolium,0,20
co,2,1,s,iridaceae,s.angustifolium,16,20
co,3,1,c,iridaceae,s.angustifolium,15,20
co,3,1,s,iridaceae,s.angustifolium,19,20
co,4,1,c,iridaceae,s.angustifolium,10,20
co,4,1,s,iridaceae,s.angustifolium,19,20
co,5,1,c,iridaceae,s.angustifolium,2,20
co,5,1,s,iridaceae,s.angustifolium,14,20
co,6,1,c,iridaceae,s.angustifolium,0,20
co,6,1,s,iridaceae,s.angustifolium,20,20
co,7,1,c,iridaceae,s.angustifolium,1,20
co,7,1,s,iridaceae,s.angustifolium,18,20
co,8,1,c,iridaceae,s.angustifolium,0,20
co,8,1,s,iridaceae,s.angustifolium,19,20
co,9,1,c,iridaceae,s.angustifolium,17,20
co,9,1,s,iridaceae,s.angustifolium,15,20
co,10,1,c,iridaceae,s.angustifolium,8,20
co,10,1,s,iridaceae,s.angustifolium,13,20
co,1,2,c,iridaceae,s.angustifolium,0,20
co,1,2,s,iridaceae,s.angustifolium,19,20
co,2,2,c,iridaceae,s.angustifolium,0,20
co,2,2,s,iridaceae,s.angustifolium,19,20
co,3,2,c,iridaceae,s.angustifolium,7,20
co,3,2,s,iridaceae,s.angustifolium,19,20
co,4,2,c,iridaceae,s.angustifolium,9,20
co,4,2,s,iridaceae,s.angustifolium,16,20
co,5,2,c,iridaceae,s.angustifolium,0,20
co,5,2,s,iridaceae,s.angustifolium,15,20
co,6,2,c,iridaceae,s.angustifolium,0,20
co,6,2,s,iridaceae,s.angustifolium,19,20
co,7,2,c,iridaceae,s.angustifolium,0,20
co,7,2,s,iridaceae,s.angustifolium,16,20
co,8,2,c,iridaceae,s.angustifolium,2,20
co,8,2,s,iridaceae,s.angustifolium,15,20
co,9,2,c,iridaceae,s.angustifolium,16,20
co,9,2,s,iridaceae,s.angustifolium,7,20
co,10,2,c,iridaceae,s.angustifolium,7,20
co,10,2,s,iridaceae,s.angustifolium,3,20
co,1,0.25,s,agavaceae,y.glauca,10,10
co,1,0.25,c,agavaceae,y.glauca,0,10
co,2,0.25,s,agavaceae,y.glauca,10,10
co,2,0.25,c,agavaceae,y.glauca,6,10
co,3,0.25,s,agavaceae,y.glauca,8,10
co,3,0.25,c,agavaceae,y.glauca,8,10
co,4,0.25,s,agavaceae,y.glauca,8,10
co,4,0.25,c,agavaceae,y.glauca,8,10
co,5,0.25,c,agavaceae,y.glauca,6,10
co,5,0.25,s,agavaceae,y.glauca,10,10
co,6,0.25,c,agavaceae,y.glauca,7,10
co,6,0.25,s,agavaceae,y.glauca,9,10
co,7,0.25,c,agavaceae,y.glauca,10,10
co,7,0.25,s,agavaceae,y.glauca,10,10
