site,block,plot,time_month,treatment,species,number_recovered,number_original,number_herbivorized,notes,pct_recovered,mean_1seed,sd_1seed,number_lost
mo,2,32,1,post-sticky,RUDHIR,10,20,NA,NA,0.5,2.5e-4,1.0198039027185568e-5,10
mo,2,32,1,post-sticky,ECHPAL,12,20,NA,NA,0.6,0.0045968,1.8277660924989524e-4,8
mo,2,32,1,post-sticky,SPOHET,14,20,NA,NA,0.7,0.001996,8.69635939153084e-5,6
mo,2,32,1,post-sticky,SCHSCO,19,20,NA,NA,0.95,0.0018332,1.1412351982732469e-4,1
mo,3,14,0.25,carpet,CORTIN,0,20,NA,NA,0,2.148e-4,1.3603921003397022e-5,20
mo,3,14,0.25,carpet,RUDHIR,3,20,NA,NA,0.15,2.5e-4,1.0198039027185568e-5,17
mo,3,14,0.25,sticky,ECHPAL,10,20,NA,didn't get sprayed well so I think the smooth stuff didn't stick,0.5,0.0045968,1.8277660924989524e-4,10
mo,3,14,0.25,sticky,TRIPER,11,20,NA,didn't get sprayed well so I think the smooth stuff didn't stick,0.55,2.48e-5,1.6865480854231363e-6,9
mo,3,14,0.25,sticky,SPOHET,14,20,NA,didn't get sprayed well so I think the smooth stuff didn't stick,0.7,0.001996,8.69635939153084e-5,6
mo,3,14,0.25,sticky,LESCAP,15,20,NA,didn't get sprayed well so I think the smooth stuff didn't stick,0.75,0.00328,9.864864700316754e-5,5
mo,3,14,0.25,carpet,DESCAN,17,20,NA,NA,0.85,0.00442,3.0210520610468724e-4,3
mo,3,14,0.25,carpet,TRIPER,17,20,NA,NA,0.85,2.48e-5,1.6865480854231363e-6,3
mo,3,14,0.25,sticky,DESCAN,18,20,NA,didn't get sprayed well so I think the smooth stuff didn't stick,0.9,0.00442,3.0210520610468724e-4,2
mo,3,14,0.25,sticky,SCHSCO,18,20,NA,didn't get sprayed well so I think the smooth stuff didn't stick,0.9,0.0018332,1.1412351982732469e-4,2
